#legend:
#N	qx	qy	re	im
0	-5	-5	0.237115	-1.06181e-14
1	-5	-4.95	0.0545225	3.71318e-16
2	-5	-4.9	0.269999	1.42568e-14
3	-5	-4.85	0.374613	-1.1961e-14
4	-5	-4.8	0.0423651	7.15972e-15
5	-5	-4.75	0.225601	-1.13202e-14
6	-5	-4.7	0.897583	1.48106e-15
7	-5	-4.65	0.786957	1.13112e-14
8	-5	-4.6	0.183454	9.0759e-15
9	-5	-4.55	0.105608	-2.32358e-15
10	-5	-4.5	0.210741	-7.79585e-16
11	-5	-4.45	0.151829	-8.49624e-16
12	-5	-4.4	0.147114	-7.38905e-16
13	-5	-4.35	0.0852815	-6.28967e-16
14	-5	-4.3	0.195354	1.08189e-14
15	-5	-4.25	0.719498	6.93261e-15
16	-5	-4.2	0.859604	7.80409e-16
17	-5	-4.15	0.309348	-7.17109e-15
18	-5	-4.1	0.00117123	5.24797e-16
19	-5	-4.05	0.143181	1.25273e-15
20	-5	-4	0.112776	-2.61137e-15
21	-5	-3.95	0.000319678	2.64545e-18
22	-5	-3.9	0.0690587	-2.93524e-15
23	-5	-3.85	0.0452708	1.39593e-15
24	-5	-3.8	0.0208682	1.28239e-15
25	-5	-3.75	0.270751	-5.02541e-15
26	-5	-3.7	0.360866	3.81323e-15
27	-5	-3.65	0.0879297	1.70823e-15
28	-5	-3.6	0.0425338	8.50882e-17
29	-5	-3.55	0.238008	1.23582e-15
30	-5	-3.5	0.142616	1.35152e-15
31	-5	-3.45	0.000473866	1.45543e-16
32	-5	-3.4	0.104367	9.57524e-16
33	-5	-3.35	0.075695	4.59268e-16
34	-5	-3.3	0.0243558	8.24254e-16
35	-5	-3.25	0.236404	1.14414e-15
36	-5	-3.2	0.209072	5.49504e-15
37	-5	-3.15	0.00134673	2.88398e-16
38	-5	-3.1	0.310689	-5.80352e-16
39	-5	-3.05	0.627436	-2.58947e-15
40	-5	-3	0.290758	-2.15297e-15
41	-5	-2.95	0.000608223	-2.79941e-16
42	-5	-2.9	0.117184	2.70426e-15
43	-5	-2.85	0.0994292	5.39759e-16
44	-5	-2.8	0.0183199	5.6127e-16
45	-5	-2.75	0.189267	1.58272e-15
46	-5	-2.7	0.328085	4.0665e-15
47	-5	-2.65	0.239342	8.6463e-16
48	-5	-2.6	0.0974312	-2.9863e-15
49	-5	-2.55	0.0227616	-5.60923e-16
50	-5	-2.5	0.00265925	2.59797e-16
51	-5	-2.45	0.0128787	-4.37476e-16
52	-5	-2.4	0.0880217	-2.69071e-15
53	-5	-2.35	0.165998	-1.53495e-15
54	-5	-2.3	0.112055	-1.5784e-15
55	-5	-2.25	0.0532694	-2.81069e-16
56	-5	-2.2	0.106585	-5.91215e-16
57	-5	-2.15	0.0966921	-1.97835e-15
58	-5	-2.1	0.0206077	4.6959e-16
59	-5	-2.05	0.0175192	-5.26163e-17
60	-5	-2	0.0138874	-1.08161e-15
61	-5	-1.95	0.0221103	9.52157e-16
62	-5	-1.9	0.11503	-8.1377e-16
63	-5	-1.85	0.148242	3.01083e-15
64	-5	-1.8	0.11297	1.1947e-15
65	-5	-1.75	0.131774	4.56026e-16
66	-5	-1.7	0.107323	-2.72821e-16
67	-5	-1.65	0.0491439	8.1444e-16
68	-5	-1.6	0.124343	1.87834e-15
69	-5	-1.55	0.185576	7.89483e-16
70	-5	-1.5	0.0844683	1.75655e-15
71	-5	-1.45	0.0503538	2.49984e-15
72	-5	-1.4	0.147889	7.77069e-16
73	-5	-1.35	0.127457	1.36947e-15
74	-5	-1.3	0.0253272	-1.06907e-15
75	-5	-1.25	0.0918312	-9.90126e-16
76	-5	-1.2	0.210766	2.8261e-15
77	-5	-1.15	0.126964	4.80204e-16
78	-5	-1.1	0.00432552	2.14878e-16
79	-5	-1.05	0.0643808	1.1986e-15
80	-5	-1	0.147535	-1.28252e-15
81	-5	-0.95	0.230743	5.41255e-15
82	-5	-0.9	0.457772	-6.83047e-19
83	-5	-0.85	0.500273	5.84957e-15
84	-5	-0.8	0.179241	-1.09179e-14
85	-5	-0.75	0.0495512	-1.92483e-15
86	-5	-0.7	0.322465	-2.70031e-15
87	-5	-0.65	0.514001	-9.22212e-16
88	-5	-0.6	0.352284	8.022e-15
89	-5	-0.55	0.0596872	1.56424e-15
90	-5	-0.5	0.117408	6.2596e-15
91	-5	-0.45	0.494544	5.80642e-15
92	-5	-0.4	0.428188	-5.2094e-15
