#legend:
#N	qx	qy	re	im
0	-5	-5	55.0202	-7.27569e-14
1	-5	-4.95	35.216	-4.28352e-14
2	-5	-4.9	6.60942	6.402e-14
3	-5	-4.85	0.199221	1.7293e-14
4	-5	-4.8	2.30941	1.01066e-14
5	-5	-4.75	0.57724	1.44447e-14
6	-5	-4.7	0.205672	1.45097e-15
7	-5	-4.65	0.730665	9.48343e-15
8	-5	-4.6	0.0881148	6.80428e-15
9	-5	-4.55	0.181933	5.2458e-16
10	-5	-4.5	0.308996	3.20455e-15
11	-5	-4.45	0.00829461	-1.34558e-15
12	-5	-4.4	0.136211	1.72909e-15
13	-5	-4.35	0.122712	-1.4975e-16
14	-5	-4.3	0.00111455	2.35489e-16
15	-5	-4.25	0.0938207	1.69851e-15
16	-5	-4.2	0.0409313	-1.99276e-16
17	-5	-4.15	0.00664266	-1.33227e-16
18	-5	-4.1	0.0353739	-1.15398e-15
19	-5	-4.05	0.00351801	-4.10869e-16
20	-5	-4	1.37435e-05	-6.7394e-17
21	-5	-3.95	0.0893456	1.58792e-15
22	-5	-3.9	0.64864	-7.45532e-15
23	-5	-3.85	1.09907	2.47731e-14
24	-5	-3.8	0.509784	-1.58349e-14
25	-5	-3.75	0.000327051	-6.95711e-16
26	-5	-3.7	0.219619	1.07921e-15
27	-5	-3.65	0.142294	1.60752e-15
28	-5	-3.6	0.00980061	1.88504e-15
29	-5	-3.55	0.174983	3.10151e-15
30	-5	-3.5	0.0642319	-2.8492e-15
31	-5	-3.45	0.0348536	-6.4445e-16
32	-5	-3.4	0.164585	1.36119e-15
33	-5	-3.35	0.0268326	4.00556e-15
34	-5	-3.3	0.0709096	2.79464e-16
35	-5	-3.25	0.157522	-3.89194e-15
36	-5	-3.2	0.00419053	-6.78754e-16
37	-5	-3.15	0.141495	2.41994e-15
38	-5	-3.1	0.173342	-1.87315e-15
39	-5	-3.05	0.00291982	-1.46194e-16
40	-5	-3	0.327885	-1.01059e-14
41	-5	-2.95	0.259912	-2.88237e-15
42	-5	-2.9	0.108322	-8.74587e-15
43	-5	-2.85	2.19159	1.63827e-15
44	-5	-2.8	4.77689	-5.39317e-15
45	-5	-2.75	4.01486	-4.64591e-14
46	-5	-2.7	1.27412	-8.72301e-15
47	-5	-2.65	0.0304734	-6.72539e-15
48	-5	-2.6	0.109729	2.80416e-15
49	-5	-2.55	0.0868824	2.02889e-15
50	-5	-2.5	2.52057e-05	1.2631e-16
51	-5	-2.45	0.0344409	1.12859e-15
52	-5	-2.4	0.0191196	8.23018e-16
53	-5	-2.35	0.00130704	-4.44523e-18
54	-5	-2.3	0.020072	-3.644e-16
55	-5	-2.25	0.0070824	1.90603e-16
56	-5	-2.2	0.00478169	1.49902e-16
57	-5	-2.15	0.0222059	4.19098e-16
58	-5	-2.1	0.00387586	1.41944e-16
59	-5	-2.05	0.0153826	1.53057e-16
60	-5	-2	0.0434883	-7.48089e-16
61	-5	-1.95	0.00143148	2.99359e-16
62	-5	-1.9	0.0841137	4.17159e-15
63	-5	-1.85	0.162934	-3.32551e-15
64	-5	-1.8	0.00611683	-5.558e-16
65	-5	-1.75	1.33725	-2.2086e-14
66	-5	-1.7	5.24776	1.51904e-14
67	-5	-1.65	7.34823	6.94355e-15
68	-5	-1.6	4.10774	-3.10841e-16
69	-5	-1.55	0.391619	1.4365e-14
70	-5	-1.5	0.318605	-1.82933e-15
71	-5	-1.45	0.661178	-8.11007e-15
72	-5	-1.4	0.0367876	-3.35994e-16
73	-5	-1.35	0.275014	8.01682e-15
74	-5	-1.3	0.355061	4.49046e-15
75	-5	-1.25	4.02542e-05	1.32067e-16
76	-5	-1.2	0.323937	-1.01499e-15
